folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,daystomonth09,Days from baseline to 9-month visit,,numeric,days,,,,,
Administrative,daystomonth18,Days from baseline to 18-month visit,,numeric,days,,,,,
Administrative,daystosurgery,Days from baseline to laparoscopic gastric banding (LGB) surgery,,numeric,days,,,,,
Administrative,nsrrid,NSRR Subject Identifier,The National Sleep Research Resource (NSRR) subject identifier links the subject's data and files.,identifier,,,,,TRUE,
Administrative,rand_siteid,Site Identifier,Recruitment site was a stratification factor for randomization.,choices,,siteid,,,TRUE,
Administrative,rand_treatmentarm,Randomized Treatment Arm,,choices,,treatment_arm,,,TRUE,
Administrative,surgery_occurred,Surgery occurred,The subject underwent laparoscopic gastric banding (LGB) surgery.,choices,,noyes,,,,
Administrative,visitnumber,Visit number,,choices,,visitnumber,,,TRUE,
Anthropometry,bmi,Body mass index (BMI),Calculated,numeric,kilograms per meter squared (kg/m2),,height;weight,,TRUE,
Anthropometry,height,Height,,numeric,centimeters (cm),,,,,
Anthropometry,weight,Weight,,numeric,kilograms (kg),,,,,
Demographics,age,Age of participant,,numeric,years,,,,TRUE,
Demographics,ethnicity,Ethnicity: Hispanic or Latino ,"""Hispanic or Latino"" is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American or other Spanish culture or origin regardless of race.",choices,,ethnicity,race,,TRUE,
Demographics,gender,Gender,,choices,,gender,male;female;men;women,,TRUE,
Demographics,race,Race of the participant,Race is presented as three (3) categories based on [suggested Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) de-identification procedures](http://www.nhlbi.nih.gov/research/funding/human-subjects/set-preparation-guidelines).,choices,,race,native american;american indian;alaska native;native hawaiian;pacific islander;white;black;african american;asian;ethnicity,,TRUE,
Polysomnography (PSG),ahi_a0uh3x3u,Apnea-Hypopnea Index: (all apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 3% desaturation and with or without arousal)  / hour of sleep,Calculated,numeric,events per hour,,sdb,60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop ) / slpprdp,TRUE,
Polysomnography (PSG),ahi_a0uh3x3r,Apnea-Hypopnea Index: (all apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and  with > 3% desaturation or with arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb,60 * (hremba3 + hroa3 + hnrba3 + hnroa3 + urbpa3 + uropa3 + unrbpa3 + unropa3 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop ) / slpprdp,,
Polysomnography (PSG),ahi_a0uh3x4u,Apnea-Hypopnea Index: (all apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 4% desaturation and with or without arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb,60 * (hrembp4 + hrop4 + hnrbp4 + hnrop4 + urbp4 + urop4 + unrbp4 + unrop4 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop ) / slpprdp,TRUE,
Polysomnography (PSG),ahi_a0uh3x4r,Apnea-Hypopnea Index:  (all apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 4% desaturation or with arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb,60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop + oarbp + oarop + oanbp + oanop ) / slpprdp,,
Polysomnography (PSG),cahi_c0uh3x3u,Central Apnea-Hypopnea Index: (central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 3% desaturation and with or without arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb;csa,60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + carbp + carop + canbp + canop) / slpprdp,,
Polysomnography (PSG),cahi_c0uh3x3r,Central Apnea-Hypopnea Index: (central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 3% desaturation or with arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb;csa,60 * (hremba3 + hroa3 + hnrba3 + hnroa3 + urbpa3 + uropa3 + unrbpa3 + unropa3 + carbp + carop + canbp + canop) / slpprdp,,
Polysomnography (PSG),cahi_c0uh3x4u,Central Apnea-Hypopnea Index: (central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 4% desaturation and with or without arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb;csa,60 * (hrembp4 + hrop4 + hnrbp4 + hnrop4 + urbp4 + urop4 + unrbp4 + unrop4 + carbp + carop + canbp + canop ) / slpprdp,,
Polysomnography (PSG),cahi_c0uh3x4r,Central Apnea-Hypopnea Index:  (central apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 4% desaturation or with arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb;csa,60 * (hremba4 + hroa4 + hnrba4 + hnroa4 + urbpa4 + uropa4 + unrbpa4 + unropa4 + carbp + carop + canbp + canop ) / slpprdp,,
Polysomnography (PSG),oahi_o0uh3x3u,Obstructive Apnea-Hypopnea Index: (obstructive apneas with no oxygen desaturation threshold used and with or without arousal + hypopneas with >30% airflow reduction and with > 3% desaturation  and with or without arousal) / hour of sleep,Calculated,numeric,events per hour,,sdb;osa,60 * (hrembp3 + hrop3 + hnrbp3 + hnrop3 + urbp3 + urop3 + unrbp3 + unrop3 + oarbp + oarop + oanbp + oanop ) / slpprdp,,
